_date,total_clones,unique_clones
2022-12-07,9,5
2022-12-08,2,2
2022-12-09,2,2
2022-12-10,5,2
2022-12-11,5,4
2022-12-12,2,2
2022-12-13,2,2
2022-12-14,1,1
2022-12-15,43,35
2022-12-16,99,65
2022-12-17,82,56
2022-12-18,59,37
2022-12-19,22,16
2022-12-20,19,5
2022-12-21,6,4
2022-12-22,10,3
2022-12-23,4,4
2022-12-24,17,9
2022-12-25,4,4
2022-12-26,2,2
2022-12-27,6,5
2022-12-28,2,2
2022-12-29,3,3
2022-12-30,2,2
2022-12-31,4,4
2023-01-01,6,5
2023-01-02,8,5
2023-01-03,16,9
2023-01-04,8,6
2023-01-05,3,3
2023-01-06,3,3
2023-01-07,5,4
2023-01-08,4,4
2023-01-09,44,36
2023-01-10,66,51
2023-01-11,64,46
2023-01-12,25,23
2023-01-13,6,5
2023-01-14,46,36
2023-01-15,64,47
2023-01-16,24,18
2023-01-17,4,3
2023-01-18,11,3
2023-01-19,7,5
2023-01-20,4,3
2023-01-21,4,3
2023-01-22,39,31
2023-01-23,63,46
2023-01-24,65,43
2023-01-25,22,17
