_date,total_views,unique_views
2022-12-06,3,1
2022-12-07,55,30
2022-12-08,49,29
2022-12-09,34,26
2022-12-10,30,18
2022-12-11,25,14
2022-12-12,30,23
2022-12-13,47,30
2022-12-14,37,29
2022-12-15,42,34
2022-12-16,193,131
2022-12-17,133,98
2022-12-18,116,75
2022-12-19,207,160
2022-12-20,279,108
2022-12-21,133,81
2022-12-22,125,63
2022-12-23,88,59
2022-12-24,136,36
2022-12-25,63,37
2022-12-26,50,29
2022-12-27,46,36
2022-12-28,49,38
2022-12-29,83,50
2022-12-30,34,30
2022-12-31,35,23
2023-01-01,46,24
2023-01-02,86,34
2023-01-03,68,38
2023-01-04,67,50
2023-01-05,62,44
2023-01-06,59,44
2023-01-07,41,22
2023-01-08,39,34
2023-01-09,52,36
2023-01-10,53,45
